Product Name,Sales
Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,1.624
Avery 5,5.76
Xerox 20,6.48
Grip Seal Envelopes,7.072
Acme Serrated Blade Letter Opener,7.632
Avery Hi-Liter Pen Style Six-Color Fluorescent Set,7.7
"Avery Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",7.8
Xerox 1989,7.968
4009 Highlighters,8.04
Stockwell Gold Paper Clips,8.096
Acco Economy Flexible Poly Round Ring Binder,8.352
Newell 308,8.4
Avery 484,9.216
Kleencut Forged Office Shears by Acme United Corporation,9.568
PNY Rapid USB Car Charger - Black,9.588
Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,9.768
Newell 342,9.84
"Alliance Big Bands Rubber Bands, 12/Pack",9.9
Letter Slitter,10.08
Newell 337,10.496
Storex Flexible Poly Binders with Double Pockets,10.824
Computer Printout Index Tabs,11.088000000000001
Sanford Pocket Accent Highlighters,11.2
Avery 482,11.56
Xerox 1969,11.56
Maxell 4.7GB DVD+R 5/Pack,11.682
Xerox 1922,11.952
Xerox 1984,12.96
OIC Thumb-Tacks,12.996
"Sanitaire Vibra Groomer IR Commercial Upright Vacuum, Replacement Belts",13.0
"Brites Rubber Bands, 1 1/2 oz. Box",13.068000000000001
Alliance Rubber Bands,13.440000000000001
Memorex Mini Travel Drive 4 GB USB 2.0 Flash Drive,13.616
Design Ebony Sketching Pencil,13.622
Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,13.86
SANFORD Liquid Accent Tank-Style Highlighters,14.2
Color-Coded Legal Exhibit Labels,14.73
Boston 1900 Electric Pencil Sharpener,14.98
Wirebound Voice Message Log Book,15.232
"Quartet Alpha White Chalk, 12/Pack",15.469999999999999
"Universal Ultra Bright White Copier/Laser Paper, 8 1/2"" x 11"", Ream",15.552
"OIC Binder Clips, Mini, 1/4"" Capacity, Black",15.623999999999999
Maxell CD-R Discs,15.76
"Binney & Smith Crayola Metallic Crayons, 16-Color Pack",16.176000000000002
Wilson Jones Suede Grain Vinyl Binders,16.402
"Ampad Evidence Wirebond Steno Books, 6"" x 9""",16.568
Avery 479,16.704
Xerox 1901,16.896
Insertable Tab Indexes For Data Binders,17.49
Avery 502,17.64
"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",17.64
"Stride Job 150 Highlighters, Chisel Tip, Assorted Colors",17.94
Hoover Commercial Lightweight Upright Vacuum,18.096
12 Colored Short Pencils,18.2
Loose Memo Sheets,18.25
Unpadded Memo Slips,18.308
Maxell 4.7GB DVD-R 5/Pack,19.008
Newell 307,19.292
Xerox 215,19.44
Acco Glide Clips,19.6
Nu-Dell EZ-Mount Plastic Wall Frames,19.7
Sterling Rubber Bands by Alliance,19.782
Rediform S.O.S. Phone Message Books,19.92
Avery Hi-Liter Fluorescent Desk Style Markers,20.279999999999998
"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",20.65
Newell 323,21.168
Avery 510,21.75
Self-Adhesive Ring Binder Labels,22.88
Bagged Rubber Bands,23.183999999999997
"Dixon Ticonderoga Maple Cedar Pencil, #2",23.332
Newell 338,23.52
Serrated Blade or Curved Handle Hand Letter Openers,23.864
Avery 497,24.023999999999997
Avery 507,24.192
BIC Brite Liner Grip Highlighters,24.272
Newell 329,24.272
Translucent Push Pins by OIC,24.552
